Глубина манометра;Dшт;Руст;Рзаб;Pлин;Руст;Рзаб;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ
3650.00;34516.00;337.11;458.6;91.05;333.00;458.5;89.43;60.00;90.3;105.6;31.18;287.95;106.66;0.49;306.24;2519.8;163.00;0.5;63.6;47.33;55.4;55.2;89.6;88.43;0.82;795.00;1000.00;0.68;26359.00;294.59
3650.00;19603.00;325.84;452.8;97.79;325.00;452.7;98.18;66.00;95.5;105.49;40.51;402.79;143.01;43132.00;429.88;3517.8;218.9;43862.00;63.6;47.33;55.4;55.2;85.5;84.38;0.82;795.00;1000.00;0.68;42856.00;282.24
3650.00;25903.00;299.56;437.3;103.11;299.00;437.2;105.98;74.00;103.6;105.47;51.38;654.56;230.98;20546.00;692.79;5599.8;354.6;25659.00;63.6;47.33;55.4;55.2;93.8;92.57;0.82;795.00;1000.00;0.68;14824.00;280.56
3650.00;14.29;280.33;426.2;107.06;280.00;426.1;106.77;75.00;106.8;105.42;52.76;742.11;272.77;45809.00;787.26;6020.6;421.6;14763.00;63.6;47.33;55.4;55.2;92.3;91.09;0.82;795.00;1000.00;0.68;23621.00;292.24
3650.00;15.87;256.21;414.00;109.78;255.00;413.9;109.39;75.00;110.2;105.36;55.51;846.82;302.62;12632.00;896.91;6943.1;469.6;44842.00;63.6;47.33;55.4;55.2;87.7;86.55;0.82;795.00;1000.00;0.68;34243.00;284.08
3650.00;14.29;271.47;414.8;108.63;271.00;414.7;108.64;74.00;null;105.35;53.13;720.27;262.01;44567.00;763.64;5914.3;401.1;44840.00;63.6;47.33;55.4;55.2;96.3;95.04;0.82;795.00;1000.00;0.68;12298.00;289.18
3650.00;44876.00;297.68;424.5;100.13;298.00;424.5;102.25;70.00;null;105.37;44.88;497.16;179.76;47178.00;526.91;4204.5;274.00;11018.00;63.6;47.33;55.4;55.2;88.2;87.05;0.82;795.00;1000.00;0.68;15493.00;287.52
3653.00;19603.00;298.57;403.4;111.38;298.00;402.9;111.61;64.00;32.00;104.42;42.44;366.22;118.28;17168.00;388.18;2724.6;184.3;18264.00;63.6;43.4;54.9;52.7;88.8;87.64;0.82;788.9;1000.00;0.68;21641.00;254.84
3653.00;44876.00;285.65;399.2;121.68;288.00;396.6;123.62;68.00;36.00;104.42;49.18;470.29;145.03;46419.00;495.85;3324.9;229.5;10990.00;63.6;43.4;54.9;52.7;87.4;86.26;0.82;788.9;1000.00;0.68;30437.00;243.23
null;14.29;221.8;null;107.56;222.00;null;106.77;69.00;null;null;52.22;601.5;167.1;1.00;629.44;5020.00;254.00;1.00;63.6;null;null;null;90.8;89.61;0.82;788.4;1000.00;0.68;46935.00;219.04
3572.00;12936.00;251.29;341.5;106.00;251.29;345.00;114.7;25.00;null;104.9;44707.00;148.2;40.00;0.00;null;1768.6;98.2;0.00;30.00;38.59;51.3;51.7;94.8;93.56;null;780.00;null;0.66;null;270.00
3572.00;19603.00;237.1;330.00;105.9;237.1;328.7;103.8;31.00;null;104.7;38.5;304.63;76.6;0.00;null;2315.9;122.1;0.00;30.00;38.59;51.3;51.7;94.8;93.56;null;780.00;null;0.66;null;251.00
3572.00;44876.00;222.92;316.00;108.9;222.92;316.1;108.7;37.00;null;104.6;45.00;389.86;91.8;44835.00;null;2998.1;143.5;43831.00;30.00;38.59;51.3;51.7;103.6;102.25;null;780.00;null;0.66;null;236.00
3572.00;25903.00;222.92;301.6;101.7;222.92;329.7;108.4;37.00;null;104.5;48.2;472.62;102.3;14642.00;null;4013.4;158.9;14642.00;30.00;38.59;51.3;51.7;98.00;96.72;null;780.00;null;0.66;null;217.00
3588.5;34516.00;258.00;359.9;100.2;258.00;359.9;100.2;57.00;33.00;105.1;33.2;235.78;59.6;10959.00;247.23;1839.2;94.7;43831.00;30.00;40.39;49.4;null;97.6;96.32;null;792.00;null;0.68;null;200.00
